TMax Stations (Long-term monthly averages),,,,,,,,,,,,,,
Met Node ID,Met Node Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
11120301,HUC 11120301 TMax,10.16,12.86,17.22,22.94,26.93,31.4,33.96,33.25,29.21,23.72,16.25,11.29
11120201,HUC 11120201 TMax,10.81,13.36,17.56,23.17,27.43,31.99,34.69,33.88,29.57,24.1,16.7,11.94
11120202,HUC 11120202 TMax,11.45,14.05,18.72,24.46,28.38,33.16,35.67,34.95,30.52,24.98,17.54,12.55
11130101,HUC 11130101 TMax,11.98,15.09,19.92,25.5,29.61,34.41,36.71,36.09,31.48,25.68,17.96,12.94
11120202,HUC 11120202 TMax,11.71,14.86,19.64,25.13,29.3,33.94,36.44,35.72,31.22,25.76,17.99,12.75
11120304,HUC 11120304 TMax,11.42,14.72,19.58,25.16,29.22,33.86,36.47,35.81,31.33,25.67,17.71,12.45
11120302,HUC 11120302 TMax,10.69,13.6,18.0,23.64,27.69,32.47,35.23,34.59,30.27,24.51,16.85,11.71
11120303,HUC 11120303 TMax,11.34,14.53,19.22,24.64,28.91,33.78,36.19,35.37,30.91,25.35,17.68,12.64
